,X(ft),Y(ft),Completion,Elevation Kelly Bushing (ft),Sum_Production
WP0,137106.82,83818.47,Upper,193.32,475.695079823
WP1,132460.98,85832.77,Upper,187.15,1005.5666624200001
WP2,133634.0,82144.52,Upper,164.55,443.22889844099996
WP3,140892.57,81747.12,Lower,179.92,88345.368434
WP4,109951.43,89343.45,Lower,186.21,8484.7466534
WP5,123950.95,92227.31,Lower,172.8,1056.71887975
WP6,111035.32,88692.32,Lower,182.66,30999.563161600003
WP7,112439.69,85560.85,Lower,181.09,71.108432325
WP8,127369.74,91739.99,Upper,180.04,654.7737165799999
WP9,115943.69,86730.44,Lower,178.25,263.803389711
WP10,134042.86,82411.27,Upper,184.33,1576.3454431
WP11,115725.49,86866.6,Upper,192.03,0.0
WP12,133136.98,93691.55,Lower,170.35,57.822977462
WP13,119311.27,89234.02,Upper,190.28,1787.4066799500001
WP14,134837.26,83865.82,Lower,182.29,17534.9528783
WP15,109560.26,86833.62,Lower,184.45,45903.089669
WP16,112898.58,91601.46,Lower,168.63,53733.5237507
WP17,112766.46,88549.74,Lower,181.35,17780.451482999997
WP18,117798.78,90645.7,Upper,194.85,27653.2052855
WP19,110189.22,86209.71,Upper,169.2,354.104874925
WP20,133687.47,83554.44,Upper,160.22,870.0116819699999
WP21,121120.49,87804.64,Upper,162.57,60.019033698
WP22,115987.29,91854.91,Upper,182.66,342.14742263
WP23,139326.01,84776.42,Upper,203.85,497.725572598
WP24,142095.82,86042.02,Lower,191.24,4880.21125485
WP25,128136.21,89359.95,Lower,196.73,18598.340498
WP26,118170.11,89488.69,Lower,180.99,18012.790031700002
WP27,129829.39,87756.99,Upper,193.98,471.48034895800004
WP28,120522.78,89987.0,Upper,177.29,9973.879346000002
WP29,138541.42,82281.79,Lower,186.13,28364.8338767
WP30,131123.52,84356.27,Upper,177.33,56.256269269
WP31,136285.14,86479.95,Lower,174.51,10134.8465344
WP32,128675.17,89882.13,Lower,181.33,3236.954768
WP33,123960.21,85279.28,Lower,175.24,9.678521219
WP34,134053.71,84658.45,Lower,193.08,38372.619772000005
WP35,122230.81,87539.37,Upper,181.95,22.018241113
WP36,111749.78,91050.01,Lower,184.0,12816.9066608
WP37,134902.25,82632.62,Lower,176.62,32097.835675799997
WP38,116803.31,91177.75,Lower,192.56,48464.152107
WP39,111890.88,91708.68,Upper,172.68,199.35349755000001
WP40,126601.3,90679.21,Upper,186.6,99.0362475
WP41,114333.01,91616.66,Lower,176.49,31704.7853189
WP42,136532.27,83571.51,Lower,170.61,61917.4423074
WP43,115684.27,89895.78,Lower,175.11,232777.79778030002
WP44,118629.9,88703.87,Lower,171.95,24014.8374865
WP45,129176.3,93171.14,Upper,177.87,7.267656297
WP46,139046.81,84476.47,Lower,176.61,27494.021370000002
WP47,137407.15,84099.13,Lower,183.12,36459.588667
WP48,124094.8,90648.76,Lower,185.65,29287.5937407
WP49,123188.65,88556.29,Lower,178.53,18969.223453900002
